,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Mrpl30,1.70702904497164e-06,0.571701133185331,0.015,0.01,0.0443383724140934,0
Arid4a,1.71552862058402e-06,-0.141066663265743,0.075,0.087,0.0445591403910494,0
Bin3,1.71914636799492e-06,-0.481690142989604,0.023,0.03,0.0446531077623,0
Thumpd1,1.72007836038336e-06,0.459553436201695,0.022,0.016,0.0446773153325975,0
Rrnad1,1.72702098035141e-06,0.119832374918793,0.05,0.049,0.0448576429436476,0
Dazap1,1.73353785291425e-06,0.217706664973396,0.054,0.05,0.0450269121915948,0
Metap2,1.73636651795116e-06,0.224683501658408,0.049,0.046,0.0451003839372635,0
Cramp1l,1.73646430570706e-06,0.124043354915521,0.062,0.061,0.0451029238764351,0
Dcun1d1,1.7376817800616e-06,-0.137471578995026,0.061,0.071,0.0451345465553201,0
Afg3l2,1.74908814015313e-06,-0.100121313903317,0.024,0.028,0.0454308153523374,0
Rraga,1.75120957872571e-06,0.549903095314586,0.015,0.01,0.0454859175978216,0
Rprd2,1.75297636564275e-06,-0.108088980117089,0.103,0.115,0.0455318081212047,0
Brd1,1.75762896405036e-06,0.195097676421774,0.079,0.074,0.0456526547122441,0
Srsf3,1.75845533910895e-06,0.139258441097648,0.079,0.077,0.0456741189780159,0
Prepl,1.75972565988623e-06,0.285585285333861,0.061,0.054,0.0457071142898848,0
Gm5535,1.76492463259971e-06,-0.229041735025432,0.087,0.101,0.0458421524071448,0
Dyrk1a,1.7693512095677e-06,-0.155174513484515,0.185,0.205,0.0459571283173113,0
Me2,1.77302071504072e-06,-0.117083090191461,0.044,0.051,0.0460524400524675,0
Zfhx3,1.77529659304651e-06,-0.353308903701447,0.026,0.034,0.0461115537077899,0
Foxj3,1.77693744010045e-06,-0.200879355795333,0.067,0.08,0.0461541730691692,0
Adat1,1.79564222266388e-06,-0.554657100492043,0.016,0.023,0.0466400110914715,0
Hmgn2,1.81296785717074e-06,0.388565397546573,0.031,0.024,0.0470900271221528,0
Ctsz,1.82537786458681e-06,0.641314996589295,0.013,0.008,0.0474123646547777,0
Baz1b,1.82663381665284e-06,-0.117849114863438,0.115,0.129,0.0474449867537408,0
Ncoa5,1.83577670465292e-06,-0.204760019459151,0.049,0.059,0.0476824641266549,0
Zfp799,1.84706229091281e-06,0.165671667901508,0.037,0.036,0.0479755959441695,0
Cfdp1,1.85775128190264e-06,-0.158005778280093,0.064,0.074,0.0482532317961393,0
Hgs,1.87412274866114e-06,0.537198868745482,0.019,0.013,0.0486784642737246,0
Mrps33,1.92485327472877e-06,0.404217798146025,0.029,0.022,0.0499961389578051,0
Ubap1,1.95630253386987e-06,-0.20797007774213,0.048,0.058,0.0508130020147361,0
B230307C23Rik,1.98043333091525e-06,-0.433980708936254,0.022,0.03,0.0514397753371927,0
Anapc2,1.98777944871863e-06,0.325870783626995,0.042,0.034,0.0516305834010176,0
